Serial No.,GREScore,TOEFLScore,UniversityRating,SOP,LOR,CGPA,Research,ChanceofAdmit
162,298,99,1,1.5,3,7.46,0,0.53
388,307,105,2,2,3.5,8.1,0,0.53
16,314,105,3,3.5,2.5,8.3,0,0.54
30,310,99,2,1.5,2,7.3,0,0.54
63,304,105,2,3,3,8.2,1,0.54
272,299,96,2,1.5,2,7.86,0,0.54
317,298,101,2,1.5,2,7.86,0,0.54
66,325,112,4,3.5,3.5,8.92,0,0.55
52,312,100,2,1.5,3.5,7.9,1,0.56
64,315,107,2,4,3,8.5,1,0.56
117,299,102,3,4,3.5,8.62,0,0.56
292,300,102,2,1.5,2,7.87,0,0.56
293,302,99,2,1,2,7.97,0,0.56
379,303,98,1,2,2.5,7.65,0,0.56
68,316,107,2,3.5,3.5,8.64,1,0.57
104,317,104,2,4.5,4,8.47,0,0.57
123,310,106,4,1.5,2.5,8.36,0,0.57
125,301,106,4,2.5,3,8.47,0,0.57
161,315,103,1,1.5,2,7.86,0,0.57
206,295,99,2,2.5,3,7.65,0,0.57
349,302,99,1,2,2,7.25,0,0.57
368,311,98,1,1,2.5,7.46,0,0.57
38,300,105,1,1,2,7.8,0,0.58
275,315,100,1,2,2.5,7.95,0,0.58
291,307,105,2,2.5,3,7.65,0,0.58
318,300,99,1,1,2.5,8.01,0,0.58
343,308,106,3,3,3,8.24,0,0.58
115,311,105,3,3.5,3,8.45,1,0.59
240,299,100,1,1.5,2,7.89,0,0.59
344,305,103,2,2.5,3.5,8.13,0,0.59
355,297,98,2,2.5,3,7.67,0,0.59
241,296,101,1,2.5,3,7.68,0,0.6
15,311,104,3,3.5,2,8.2,1,0.61
67,327,114,3,3,3,9.02,0,0.61
111,305,108,5,3,3,8.48,0,0.61
124,308,108,3,3.5,3.5,8.22,0,0.61
159,306,106,2,2,2.5,8.14,0,0.61
226,296,99,2,2.5,2.5,8.03,0,0.61
295,316,101,2,2.5,2,8.32,1,0.61
14,307,109,3,4,3,8,1,0.62
20,303,102,3,3.5,3,8.5,0,0.62
103,314,106,2,4,3.5,8.25,0,0.62
113,301,107,3,3.5,3.5,8.34,1,0.62
301,309,106,2,2.5,2.5,8,0,0.62
305,313,106,2,2.5,2,8.43,0,0.62
324,305,102,2,2,2.5,8.18,0,0.62
350,313,101,3,2.5,3,8.04,0,0.62
384,300,100,3,3,3.5,8.26,0,0.62
19,318,110,3,4,3,8.8,0,0.63
207,315,99,2,3.5,3,7.89,0,0.63
227,306,110,2,3.5,4,8.45,0,0.63
245,314,107,2,2.5,4,8.56,0,0.63
327,299,100,3,2,2,8.02,0,0.63
354,300,102,3,3.5,2.5,8.17,0,0.63
21,312,107,3,3,2,7.9,1,0.64
37,299,106,2,4,4,8.4,0,0.64
56,320,103,3,3,3,7.7,0,0.64
57,316,102,3,2,3,7.4,0,0.64
78,301,99,2,3,2,8.22,0,0.64
89,314,108,3,4.5,3.5,8.14,0,0.64
91,318,106,2,4,4,7.92,1,0.64
102,312,105,2,2.5,3,8.12,0,0.64
126,300,100,3,2,3,8.66,1,0.64
168,313,102,3,2,3,8.27,0,0.64
169,293,97,2,2,4,7.8,1,0.64
209,305,106,2,3,3,8.16,0,0.64
228,312,110,2,3.5,3,8.53,0,0.64
234,304,100,2,2.5,3.5,8.07,0,0.64
294,312,98,1,3.5,3,8.18,1,0.64
353,303,100,2,3,3.5,8.06,1,0.64
391,314,102,2,2,2.5,8.24,0,0.64
5,314,103,2,2,3,8.21,0,0.65
18,319,106,3,4,3,8,1,0.65
31,300,97,2,3,3,8.1,1,0.65
158,309,104,2,2,2.5,8.26,0,0.65
167,302,102,3,3.5,5,8.33,0,0.65
170,311,99,2,2.5,3,7.98,0,0.65
242,317,103,2,2.5,2,8.15,0,0.65
303,322,105,2,3,3,8.45,1,0.65
316,308,104,2,2.5,3,8.07,0,0.65
17,317,107,3,4,3,8.7,0,0.66
88,317,107,2,3.5,3,8.28,0,0.66
116,310,106,4,4.5,4.5,9.04,1,0.66
208,310,102,3,3.5,4,8.02,1,0.66
279,308,103,2,3,3.5,8.49,0,0.66
302,319,108,2,2.5,3,8.76,0,0.66
315,305,105,2,3,4,8.13,0,0.66
163,318,109,3,3,3,8.5,0,0.67
225,305,105,2,3,2,8.23,0,0.67
280,304,102,2,3,4,8.73,0,0.67
314,301,100,3,3.5,3,8.04,0,0.67
325,315,104,3,3,2.5,8.33,0,0.67
370,301,98,1,2,3,8.03,1,0.67
399,312,103,3,3.5,4,8.78,0,0.67
8,308,101,2,3,4,7.9,0,0.68
69,318,109,3,3.5,4,9.22,1,0.68
110,304,103,5,5,4,8.64,0,0.68
164,317,105,3,3.5,3,8.56,0,0.68
171,312,101,2,2.5,3.5,8.04,1,0.68
183,299,100,2,3,3.5,7.88,0,0.68
210,301,104,3,3.5,4,8.12,1,0.68
281,311,102,3,4.5,4,8.64,1,0.68
296,317,100,2,3,2.5,8.57,0,0.68
358,301,104,2,3.5,3.5,7.89,1,0.68
106,316,110,3,4,4.5,8.78,1,0.69
112,321,109,4,4,4,8.68,1,0.69
205,298,105,3,3.5,4,8.54,0,0.69
233,312,107,2,2.5,3.5,8.27,0,0.69
309,312,108,3,3.5,3,8.53,0,0.69
328,295,101,2,2.5,2,7.86,0,0.69
364,306,103,2,2.5,3,8.36,0,0.69
22,325,114,4,3,2,8.4,0,0.7
55,322,110,3,3,3.5,8,0,0.7
157,315,105,3,2,2.5,8.34,0,0.7
199,311,104,3,4.5,4.5,8.43,0,0.7
239,310,104,3,2,3.5,8.37,0,0.7
243,324,115,3,3.5,3,8.76,1,0.7
252,316,99,2,2.5,3,9,0,0.7
263,308,103,2,2.5,4,8.36,1,0.7
264,324,111,3,2.5,1.5,8.79,1,0.7
278,320,101,2,2.5,3,8.62,0,0.7
310,308,110,4,3.5,3,8.6,0,0.7
359,314,105,2,2.5,2,7.64,0,0.7
101,322,107,3,3.5,3.5,8.46,1,0.71
120,327,104,5,3,3.5,8.84,1,0.71
133,309,105,5,3.5,3.5,8.56,0,0.71
138,316,100,2,1.5,3,8.16,1,0.71
181,300,104,3,3.5,3,8.16,0,0.71
182,305,107,2,2.5,2.5,8.42,0,0.71
224,308,109,2,3,4,8.45,0,0.71
229,318,112,3,4,3.5,8.67,0,0.71
248,311,104,2,2.5,3.5,8.48,0,0.71
253,318,100,2,2.5,3.5,8.54,1,0.71
262,312,104,3,3.5,4,8.09,0,0.71
266,313,102,3,2.5,2.5,8.68,0,0.71
300,305,112,3,3,3.5,8.65,0,0.71
334,319,108,3,3,3.5,8.54,1,0.71
380,311,99,1,2.5,3,8.43,1,0.71
392,318,106,3,2,3,8.65,0,0.71
3,316,104,3,3,3.5,8,1,0.72
54,324,112,4,4,2.5,8.1,1,0.72
76,329,114,2,2,4,8.56,1,0.72
87,315,106,3,4.5,3.5,8.42,0,0.72
114,320,110,2,4,3.5,8.56,0,0.72
179,309,108,3,2.5,3,8.12,0,0.72
185,316,106,2,2.5,4,8.32,0,0.72
200,313,107,3,4,4.5,8.69,0,0.72
202,315,110,2,3.5,3,8.46,1,0.72
247,316,105,3,3,3.5,8.73,0,0.72
267,312,105,2,2,2.5,8.45,0,0.72
271,306,105,2,2.5,3,8.22,1,0.72
323,314,107,2,2.5,4,8.27,0,0.72
337,319,110,3,3,2.5,8.79,0,0.72
371,310,103,2,2.5,2.5,8.24,0,0.72
180,307,102,3,3,3,8.27,0,0.73
197,306,105,2,3,2.5,8.26,0,0.73
198,310,106,2,3.5,2.5,8.33,0,0.73
201,317,103,3,2.5,3,8.54,1,0.73
231,313,104,3,4,4.5,8.65,0,0.73
268,314,107,3,3,3.5,8.17,1,0.73
304,323,107,3,3.5,3.5,8.55,1,0.73
322,323,104,3,4,4,8.44,1,0.73
332,311,105,2,3,2,8.12,1,0.73
335,312,107,4,4.5,4,8.65,1,0.73
352,325,110,4,3.5,4,8.67,1,0.73
356,317,106,2,2,3.5,8.12,0,0.73
382,319,105,3,3,3.5,8.67,1,0.73
32,327,103,3,4,4,8.3,1,0.74
75,314,106,3,3,5,8.9,0,0.74
77,327,112,3,3,3,8.72,1,0.74
90,316,109,4,4.5,3.5,8.76,1,0.74
105,326,112,3,3.5,3,9.05,1,0.74
220,312,104,3,3.5,3.5,8.42,0,0.74
232,319,106,3,3.5,2.5,8.33,1,0.74
251,320,104,3,3,2.5,8.57,1,0.74
306,321,109,3,3.5,3.5,8.8,1,0.74
351,318,107,3,3,3.5,8.27,1,0.74
367,320,104,3,3.5,4.5,8.34,1,0.74
7,321,109,3,3,4,8.2,1,0.75
147,315,105,3,2,2.5,8.48,0,0.75
184,314,110,3,4,4,8.8,0,0.75
222,316,110,3,3.5,4,8.56,0,0.75
265,325,110,2,3,2.5,8.76,1,0.75
321,317,106,3,4,3.5,8.5,1,0.75
333,308,106,3,3.5,2.5,8.21,1,0.75
341,312,107,3,3,3,8.46,1,0.75
2,324,107,4,4,4.5,8.87,1,0.76
27,322,109,5,4.5,3.5,8.8,0,0.76
51,313,98,3,2.5,4.5,8.3,1,0.76
86,319,103,4,4.5,3.5,8.66,0,0.76
137,312,103,3,5,4,8.45,0,0.76
221,313,103,3,4,4,8.75,0,0.76
223,324,113,4,4.5,4,8.79,0,0.76
244,325,114,3,3.5,3,9.04,1,0.76
257,309,99,3,4,4,8.56,0,0.76
297,310,107,3,3.5,3.5,8.67,0,0.76
311,320,104,3,3,3.5,8.74,1,0.76
390,320,108,3,3.5,4,8.44,1,0.76
132,303,105,5,5,4.5,8.65,0,0.77
156,312,109,3,3,3,8.69,0,0.77
195,316,109,3,3.5,3,8.76,0,0.77
250,321,111,3,3.5,4,8.83,1,0.77
259,326,102,4,5,5,8.76,1,0.77
270,308,108,4,4.5,5,8.34,0,0.77
365,313,102,3,3.5,4,8.9,1,0.77
394,317,104,2,3,3,8.76,0,0.77
13,328,112,4,4,4.5,9.1,1,0.78
50,327,111,4,3,4,8.4,1,0.78
53,334,116,4,4,3,8,1,0.78
70,328,115,4,4.5,4,9.16,1,0.78
128,319,112,3,2.5,2,8.71,1,0.78
140,318,109,1,3.5,3.5,9.12,0,0.78
166,322,110,5,4.5,4,8.97,0,0.78
196,307,107,2,3,3.5,8.52,1,0.78
258,324,100,3,4,5,8.64,1,0.78
276,322,110,3,3.5,3,8.96,1,0.78
313,311,107,4,4.5,4.5,9,1,0.78
381,322,104,3,3.5,4,8.84,1,0.78
100,323,113,3,4,4,8.88,1,0.79
134,323,112,5,4,4.5,8.78,0,0.79
150,311,106,2,3.5,3,8.26,1,0.79
154,324,105,3,3,4,8.75,0,0.79
211,325,108,4,4.5,4,9.06,1,0.79
256,307,110,4,4,4.5,8.37,0,0.79
290,313,109,3,4,3.5,9,0,0.79
307,323,110,3,4,3.5,9.1,1,0.79
319,324,111,3,2.5,2,8.8,1,0.79
342,326,110,3,3.5,3.5,8.76,1,0.79
357,327,109,3,3.5,4,8.77,1,0.79
374,321,109,3,3,3,8.54,1,0.79
4,322,110,3,3.5,2.5,8.67,1,0.8
139,326,116,2,4.5,3,9.08,1,0.8
145,325,112,2,3,3.5,8.96,1,0.8
155,326,108,3,3,3.5,8.89,0,0.8
249,324,110,3,3.5,4,8.87,1,0.8
282,317,110,3,4,4.5,9.11,1,0.8
284,321,111,3,2.5,3,8.9,1,0.8
308,325,112,4,4,4,9,1,0.8
320,327,113,4,3.5,3,8.69,1,0.8
329,324,112,4,4,3.5,8.77,1,0.8
331,327,113,3,3.5,3,8.66,1,0.8
146,320,113,2,2,2.5,8.64,1,0.81
165,329,111,4,4.5,4,9.01,1,0.81
246,328,110,4,4,2.5,9.02,1,0.81
283,312,106,3,4,3.5,8.79,1,0.81
326,326,116,3,3.5,4,9.14,1,0.81
339,323,108,5,4,4,8.74,1,0.81
340,324,107,5,3.5,4,8.66,1,0.81
360,321,107,2,2,1.5,8.44,0,0.81
49,321,110,3,3.5,5,8.85,1,0.82
136,314,109,4,3.5,4,8.77,1,0.82
178,319,110,3,3.5,3.5,9.04,0,0.82
212,328,110,4,5,4,9.14,1,0.82
230,324,111,4,3,3,9.01,1,0.82
289,314,104,4,5,5,9.02,0,0.82
383,324,110,4,4.5,4,9.15,1,0.82
396,324,110,3,3.5,3.5,9.04,1,0.82
148,326,114,3,3,3,9.11,1,0.83
269,327,113,4,4.5,5,9.14,0,0.83
336,325,111,4,4,4.5,9.11,1,0.83
12,327,111,4,4,4.5,9,1,0.84
74,314,108,4,4.5,4,9.04,1,0.84
129,326,112,3,3.5,3,9.1,1,0.84
141,329,110,2,4,3,9.15,1,0.84
187,317,107,3,3.5,3,8.68,1,0.84
219,324,110,4,3,3.5,8.97,1,0.84
312,328,108,4,4.5,4,9.18,1,0.84
393,326,112,4,4,3.5,9.12,1,0.84
397,325,107,3,3,3.5,9.11,1,0.84
127,323,113,3,4,3,9.32,1,0.85
176,320,111,4,4.5,3.5,8.87,1,0.85
218,321,109,4,4,4,9.13,1,0.85
237,325,112,4,4,4.5,9.17,1,0.85
255,321,114,4,4,5,9.12,0,0.85
361,322,110,3,4,5,8.64,1,0.85
47,329,114,5,4,5,9.3,1,0.86
98,331,120,3,4,4,8.96,1,0.86
153,321,112,5,5,5,9.06,1,0.86
173,322,110,4,4,5,9.13,1,0.86
193,322,114,5,4.5,4,8.94,1,0.86
238,329,114,5,4.5,5,9.19,1,0.86
298,320,120,3,4,4.5,9.11,0,0.86
366,330,114,4,4.5,3,9.17,1,0.86
44,332,117,4,4.5,4,9.1,0,0.87
107,329,111,4,4.5,4.5,9.18,1,0.87
175,321,111,4,4,4,8.97,1,0.87
192,323,110,5,4,5,8.98,1,0.87
261,327,108,5,5,3.5,9.13,1,0.87
36,320,110,5,5,5,9.2,1,0.88
46,322,110,5,5,4,9.1,1,0.88
190,324,112,5,5,5,9.08,1,0.88
236,326,111,5,4.5,4,9.23,1,0.88
48,339,119,5,4.5,4,9.7,0,0.89
135,333,113,5,4,4,9.28,1,0.89
172,334,117,5,4,4.5,9.07,1,0.89
174,323,113,4,4,4.5,9.23,1,0.89
186,327,113,4,4.5,4.5,9.11,1,0.89
277,329,113,5,5,4.5,9.45,1,0.89
288,324,114,5,5,4.5,9.08,1,0.89
372,324,110,3,3.5,3,9.22,1,0.89
395,329,111,4,4.5,4,9.23,1,0.89
6,330,115,5,4.5,3,9.34,1,0.9
34,340,114,5,4,4,9.6,1,0.9
99,332,119,4,5,4.5,9.24,1,0.9
142,332,118,2,4.5,3.5,9.36,1,0.9
177,329,119,4,4.5,4.5,9.16,1,0.9
191,324,111,5,4.5,4,9.16,1,0.9
260,331,119,4,5,4.5,9.34,1,0.9
299,330,114,3,4.5,4.5,9.24,1,0.9
33,338,118,4,3,4.5,9.4,1,0.91
45,326,113,5,4.5,4,9.4,1,0.91
108,338,117,4,3.5,4.5,9.46,1,0.91
217,322,112,4,4.5,4.5,9.26,1,0.91
235,330,113,5,5,4,9.31,1,0.91
363,338,115,5,4.5,5,9.23,1,0.91
398,330,116,4,5,4.5,9.45,1,0.91
1,337,118,4,4.5,4.5,9.65,1,0.92
83,320,110,5,5,4.5,9.22,1,0.92
84,322,115,5,4,4.5,9.36,1,0.92
130,333,118,5,5,5,9.35,1,0.92
143,331,115,5,4,3.5,9.44,1,0.92
287,336,118,5,4.5,4,9.19,1,0.92
73,321,111,5,5,5,9.45,1,0.93
109,331,116,5,5,5,9.38,1,0.93
151,334,114,4,4,4,9.43,1,0.93
188,335,118,5,4.5,3.5,9.44,1,0.93
189,331,115,5,4.5,3.5,9.36,1,0.93
216,330,116,5,5,4.5,9.36,1,0.93
254,335,115,4,4.5,4.5,9.68,1,0.93
286,331,116,5,4,4,9.26,1,0.93
362,334,116,4,4,3.5,9.54,1,0.93
23,328,116,5,5,5,9.5,1,0.94
26,340,120,5,4.5,4.5,9.6,1,0.94
35,331,112,5,4,5,9.8,1,0.94
71,332,118,5,5,5,9.64,1,0.94
85,340,115,5,4.5,4.5,9.45,1,0.94
121,335,117,5,5,5,9.56,1,0.94
122,334,119,5,4.5,4.5,9.48,1,0.94
152,332,116,5,5,5,9.28,1,0.94
194,336,118,5,4.5,5,9.53,1,0.94
215,331,117,4,4.5,5,9.42,1,0.94
285,340,112,4,5,4.5,9.66,1,0.94
338,332,118,5,5,5,9.47,1,0.94
24,334,119,5,5,4.5,9.7,1,0.95
213,338,120,4,5,5,9.66,1,0.95
373,336,119,4,4.5,4,9.62,1,0.95
400,333,117,4,5,4,9.66,1,0.95
72,336,112,5,5,5,9.76,1,0.96
82,340,120,4,5,5,9.5,1,0.96
131,339,114,5,4,4.5,9.76,1,0.96
149,339,116,4,4,3.5,9.8,1,0.96
214,333,119,5,5,4.5,9.78,1,0.96
385,340,113,4,5,5,9.74,1,0.96
386,335,117,5,5,5,9.82,1,0.96
25,336,119,5,4,3.5,9.8,1,0.97
144,340,120,4,4.5,4,9.92,1,0.97
203,340,120,5,4.5,4.5,9.91,1,0.97
204,334,120,5,4,5,9.87,1,0.97
